lband,uband,center,a,b
1.862,2.952,2.407,0.0,0.0
3.002,4.922,3.962,0.000864574,0.000960715
5.052,9.999,7.5255,0.00916964,0.0101854
10.054,14.84,12.447,0.00244611,0.00236549
15.01,19.858,17.434,0.00983623,0.00380251
20.002,24.918,22.46,0.0115316,0.00447421
25.11,29.95,27.53,0.000174342,0.000966984
30.331,34.985,32.658,0.0,0.0
35.601,39.982,37.7915,0.000432063,9.68613e-05
40.114,43.67,41.892,0.00447497,0.00100319
45.3,49.937,47.6185,0.00188729,0.00178671
50.0,55.0,52.5,0.00718125,0.00278783
55.437,59.96,57.6985,0.00698594,0.00230912
60.976,64.41,62.693,0.00118972,0.000345875
65.03,70.0,67.515,0.00201972,0.00068429
70.1,75.0,72.55,0.00087883,0.000835838
75.001,80.0,77.5005,0.0123617,0.00491086
80.1,85.0,82.55,0.00998898,0.00910774
85.1,90.0,87.55,0.0016334,0.024699
90.1,95.0,92.55,0.00798482,0.0206026
95.1,100.0,97.55,0.0100441,0.00661423
100.1,105.0,102.55,0.0182233,0.0130975
